"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","114914439601482626_1","2025-01-26","Maharashtra","Rudrav Harry Potter Music Box, Wooden Classic Music Box with Hand Crank Birthday Gifts for Girls Boys Diwali Gifts for Kids Friends Family","32546987","Free Size","1","299.0","299.0",
"RTO_INITIATED","114950041852214340_1","2025-01-26","Arunachal Pradesh","Goku  dragonBall Z Anime Action Figure (Size 30Cm) || Premium  Ball Goku Toys || Goku Super Saiyyan Action Figure|| Rare Antique Merchandise/Statue (Goku Big (Size 30Cm))","goku action figure01","Free Size","1","699.0","699.0",
"DELIVERED","114987267378150464_1","2025-01-26","Delhi","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"DELIVERED","115048518263139200_1","2025-01-26","Maharashtra","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"DELIVERED","115159305129626690_1","2025-01-27","Karnataka","Rudrav Harry Potter Music Box, Wooden Classic Music Box with Hand Crank Birthday Gifts for Girls Boys Diwali Gifts for Kids Friends Family","32546987","Free Size","1","299.0","299.0",
"DELIVERED","115262616972328064_1","2025-01-27","Maharashtra","RUDRAV Blox Fruits Plush Soft Toy for Kids and Collectors - Video Game Soft Pillow for Cute Home Decor and Gift - Washable and Safe Material Stuffed Toy","CSTE_0490_ST_Fruit_Blox_Shadow","Free Size","1","899.0","899.0",
"DELIVERED","115288806031428608_1","2025-01-27","Punjab","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"CANCELLED","115328393880431489_1","2025-01-27","Rajasthan","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"DELIVERED","115348588242037633_1","2025-01-27","Maharashtra","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","2","99.0","99.0",
"CANCELLED","115365192568962112_1","2025-01-27","Uttar Pradesh","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","94.0","94.0",
